"Drive Speed, n",Unit,Leakage Filter Clog,"Leakage Flow, QL",Unit,Main Flow Filter Clog,"Main Flow, Q ",Unit,Pilot_X1,Unit,Pilot_X2,Unit,"Pressure Remote, G",Unit,Pressure_A,Unit,Pressure _B,Unit,Recirculation Filter Clog
1572.479817,rpm,FALSE,0.0125,l/min,FALSE,2.825,l/min,0.345,bar,0.025,bar,0.133333333,bar,8.133333333,bar,167.3,bar,FALSE
1643.5149,rpm,FALSE,0.0125,l/min,FALSE,2.825,l/min,0.345,bar,0.025,bar,0.1333333333,bar,8.133333333,bar,167.3,bar,FALSE
1587.757225,rpm,FALSE,0.0125,l/min,FALSE,2.825,l/min,0.3225,bar,0.025,bar,0.1333333333,bar,8.133333333,bar,167.3,bar,FALSE
1663.94965,rpm,FALSE,0.0125,l/min,FALSE,2.625,l/min,0.3225,bar,0.025,bar,0.1333333333,bar,8.133333333,bar,167.3,bar,FALSE
1566.252083,rpm,FALSE,0.0125,l/min,FALSE,2.625,l/min,0.3225,bar,0.025,bar,0.1333333333,bar,8.133333333,bar,167.3,bar,FALSE
1619.285125,rpm,FALSE,0.0125,l/min,FALSE,2.625,l/min,0.3225,bar,0.025,bar,0.1333333333,bar,8.133333333,bar,167.3,bar,FALSE
1638.357558,rpm,FALSE,0.0125,l/min,FALSE,2.625,l/min,0.3225,bar,0.025,bar,0.1333333333,bar,8.133333333,bar,167.3,bar,FALSE
1586.88145,rpm,FALSE,0.0125,l/min,FALSE,2.625,l/min,0.3225,bar,0.025,bar,0.1333333333,bar,8.133333333,bar,167.3,bar,FALSE
1623.566692,rpm,FALSE,0.0125,l/min,FALSE,2.625,l/min,0.3225,bar,0.025,bar,0.1333333333,bar,8.133333333,bar,167.3,bar,FALSE
1590.092625,rpm,FALSE,0.0125,l/min,FALSE,2.625,l/min,0.3225,bar,0.025,bar,0.1333333333,bar,8.133333333,bar,167.3,bar,FALSE
1631.448667,rpm,FALSE,0.0125,l/min,FALSE,2.625,l/min,0.3225,bar,0.025,bar,0.1333333333,bar,8.133333333,bar,167.3,bar,FALSE
1549.709667,rpm,FALSE,0.0125,l/min,FALSE,2.625,l/min,0.3225,bar,0.025,bar,0.1333333333,bar,8.133333333,bar,167.3,bar,FALSE
1637.579092,rpm,FALSE,0.0125,l/min,FALSE,2.625,l/min,0.3225,bar,0.025,bar,0.1333333333,bar,8.133333333,bar,167.3,bar,FALSE
1566.933242,rpm,FALSE,0.0125,l/min,FALSE,2.625,l/min,0.3225,bar,0.025,bar,0.1333333333,bar,8.133333333,bar,167.15,bar,FALSE
1677.280892,rpm,FALSE,0.0125,l/min,FALSE,2.625,l/min,0.3225,bar,0.025,bar,0.1333333333,bar,8.133333333,bar,167.15,bar,FALSE
1538.811133,rpm,FALSE,0.0125,l/min,FALSE,2.4,l/min,0.3,bar,0.025,bar,0.1333333333,bar,8.133333333,bar,167.15,bar,FALSE
1618.506658,rpm,FALSE,0.0125,l/min,FALSE,2.4,l/min,0.3,bar,0.025,bar,0.1333333333,bar,8.133333333,bar,167.15,bar,FALSE
1552.726225,rpm,FALSE,0.0125,l/min,FALSE,2.4,l/min,0.3,bar,0.025,bar,0.1333333333,bar,8.133333333,bar,167.15,bar,FALSE
1651.980725,rpm,FALSE,0.0125,l/min,FALSE,2.4,l/min,0.3,bar,0.025,bar,0.1333333333,bar,8.133333333,bar,167.15,bar,FALSE
1560.316275,rpm,FALSE,0.0125,l/min,FALSE,2.4,l/min,0.3,bar,0.025,bar,0.1333333333,bar,8.133333333,bar,167.15,bar,FALSE
1660.251933,rpm,FALSE,0.0125,l/min,FALSE,2.4,l/min,0.3,bar,0.025,bar,0.1333333333,bar,8.133333333,bar,167.15,bar,FALSE
1569.560567,rpm,FALSE,0.0125,l/min,FALSE,2.4,l/min,0.3,bar,0.025,bar,0.1333333333,bar,8.133333333,bar,167.15,bar,FALSE
1668.815067,rpm,FALSE,0.0125,l/min,FALSE,2.4,l/min,0.3,bar,0.025,bar,0.1333333333,bar,8.133333333,bar,167.15,bar,FALSE
1580.264483,rpm,FALSE,0.0125,l/min,FALSE,2.4,l/min,0.3,bar,0.025,bar,0.1333333333,bar,8.133333333,bar,167.15,bar,FALSE
1640.0118,rpm,FALSE,0.0125,l/min,FALSE,2.4,l/min,0.3,bar,0.025,bar,0.1333333333,bar,8.133333333,bar,167.15,bar,FALSE
1613.835858,rpm,FALSE,0.0125,l/min,FALSE,2.175,l/min,0.3,bar,0.025,bar,0.1333333333,bar,8.133333333,bar,167.15,bar,FALSE
1593.011875,rpm,FALSE,0.0125,l/min,FALSE,2.175,l/min,0.3,bar,0.025,bar,0.1333333333,bar,8.133333333,bar,167.15,bar,FALSE
1543.384625,rpm,FALSE,0.0125,l/min,FALSE,2.175,l/min,0.3,bar,0.025,bar,0.1333333333,bar,8.133333333,bar,167.15,bar,FALSE
1597.098825,rpm,FALSE,0.0125,l/min,FALSE,2.175,l/min,0.2775,bar,0.025,bar,0.1333333333,bar,8.133333333,bar,167.15,bar,FALSE
1616.755108,rpm,FALSE,0.0125,l/min,FALSE,2.175,l/min,0.2775,bar,0.025,bar,0.1333333333,bar,8.133333333,bar,167.15,bar,FALSE
1567.711708,rpm,FALSE,0.0125,l/min,FALSE,2.175,l/min,0.2775,bar,0.025,bar,0.1333333333,bar,8.133333333,bar,167.15,bar,FALSE
1623.664,rpm,FALSE,0.0125,l/min,FALSE,2.175,l/min,0.2775,bar,0.025,bar,0.1333333333,bar,8.133333333,bar,167.15,bar,FALSE
1585.032592,rpm,FALSE,0.0125,l/min,FALSE,2.175,l/min,0.2775,bar,0.025,bar,0.1333333333,bar,8.133333333,bar,167.15,bar,FALSE
1613.057392,rpm,FALSE,0.0125,l/min,FALSE,2.175,l/min,0.2775,bar,0.025,bar,0.1333333333,bar,8.133333333,bar,167.15,bar,FALSE
1557.1051,rpm,FALSE,0.0125,l/min,FALSE,2.175,l/min,0.2775,bar,0.025,bar,0.1333333333,bar,8.133333333,bar,167.15,bar,FALSE
1589.119542,rpm,FALSE,0.0125,l/min,FALSE,2.175,l/min,0.2775,bar,0.025,bar,0.1333333333,bar,8.133333333,bar,167.15,bar,FALSE
1562.554367,rpm,FALSE,0.0125,l/min,FALSE,2.175,l/min,0.2775,bar,0.025,bar,0.1333333333,bar,8.133333333,bar,167.15,bar,FALSE
1646.531458,rpm,FALSE,0.0125,l/min,FALSE,2.175,l/min,0.2775,bar,0.025,bar,0.1333333333,bar,8.133333333,bar,167.15,bar,FALSE
1507.380542,rpm,FALSE,0.0125,l/min,FALSE,1.95,l/min,0.2775,bar,0.025,bar,0.1333333333,bar,8.133333333,bar,167.15,bar,FALSE
1655.678442,rpm,FALSE,0.0125,l/min,FALSE,1.95,l/min,0.2775,bar,0.025,bar,0.1333333333,bar,8.133333333,bar,167.15,bar,FALSE
1549.612358,rpm,FALSE,0.0125,l/min,FALSE,1.95,l/min,0.2775,bar,0.025,bar,0.1333333333,bar,8.133333333,bar,167.15,bar,FALSE
1654.802667,rpm,FALSE,0.0125,l/min,FALSE,1.95,l/min,0.2775,bar,0.025,bar,0.1333333333,bar,8.133333333,bar,167.15,bar,FALSE
1551.558525,rpm,FALSE,0.0125,l/min,FALSE,1.95,l/min,0.2575,bar,0.025,bar,0.1333333333,bar,8.133333333,bar,167.15,bar,FALSE
1702.581058,rpm,FALSE,0.0125,l/min,FALSE,1.95,l/min,0.2575,bar,0.025,bar,0.1333333333,bar,8.133333333,bar,167.15,bar,FALSE
